Unnamed: 0,Company name,City,NACE Code,NACE Original Description,NACE Friendly Label,BvD sectors,Region,Number of employees 2024,Number of employees 2023,Number of employees 2022,Number of employees 2021,Number of employees 2020,Number of employees2019,Number of employees 2018,Number of employees 2017,Number of employees 2016,Date of incorporation,Legal form,Founded Year,Growth 2023,Growth 2022,Growth 2021,Growth 2020,Growth 2019,Growth 2018,Growth 2017,aagr 2023,aagr 2022,aagr 2021,aagr 2020,aagr 2019,Scaler 2023,Scaler 2022,Scaler 2021,Scaler 2020,Scaler 2019,HighGrowthFirm 2022,HighGrowthFirm 2021,HighGrowthFirm 2020,HighGrowthFirm 2019,ConsistentHighGrowthFirm 2023,ConsistentHighGrowthFirm 2022,ConsistentHighGrowthFirm 2021,ConsistentHighGrowthFirm 2020,ConsistentHighGrowthFirm 2019,VeryHighGrowthFirm 2023,VeryHighGrowthFirm 2022,VeryHighGrowthFirm 2021,VeryHighGrowthFirm 2020,VeryHighGrowthFirm 2019,Gazelle 2023,Gazelle 2022,Gazelle 2021,Gazelle 2020,Gazelle 2019,Mature 2023,Mature 2022,Mature 2021,Mature 2020,Mature 2019,Scaleup 2023,Scaleup 2022,Scaleup 2021,Scaleup 2020,Scaleup 2019,Superstar 2023,Superstar 2022,Superstar 2021,Superstar 2020,Superstar 2019,Description
17,D'IETEREN GROUP SA/NV,BRUXELLES,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Trade & Repair,Wholesale,Brussels,n.a.,50161,47349,30328,1853,2630,2384,2228,2008,21/08/19,Public limited companies,1919,0.059388794,0.5612305460300713,15.36697247706422,-0.295437262,0.1031879194630873,0.070017953,0.1095617529880478,200.2596141700176,162.0907463621559,133.4420957288176,-5.958385251,9.411762312,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"**Company description:** 
D'Ieteren Group, founded in 1805 in Brussels, Belgium, is a diversified company with a rich automotive heritage. Initially a coachbuilder, the company has evolved into a major player in the automotive sector. D'Ieteren Group has a strong focus on mobility solutions and is involved in vehicle distribution, glass repair and replacement, and car rental services.

**Product offerings:** 
D'Ieteren Group offers a range of products and services, including vehicle distribution through its subsidiary Belron, known for its brand Carglass. Belron specializes in automotive glass repair and replacement, operating in over 30 countries. Additionally, the group provides car rental services through its subsidiary, Moleskine, offering mobility solutions to customers worldwide.

**Key activities:** 
D'Ieteren Group has made strategic moves to strengthen its position in the automotive industry, such as expanding its presence in the vehicle distribution sector through partnerships and acquisitions. By focusing on mobility solutions and innovative services like glass repair and car rental, the company has diversified its revenue streams and enhanced its competitiveness in the market.

**Additional notes:** 
- **Founding year:** 1805
- **HQ:** Brussels, Belgium
- **Mission:** D'Ieteren Group's mission is to provide innovative mobility solutions and services to meet the evolving needs of customers in the automotive industry."
43,VIATRIS INTERNATIONAL SUPPLY POINT,HOEILAART,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Trade & Repair,Wholesale,Flanders,n.a.,39,35,29,19,19,18,18,17,24/06/98,Private limited companies,1998,0.1142857142857143,0.2068965517241379,0.5263157894736842,0,0.055555556,0,0.058823529,27.08774350512106,22.58523044142535,17.23082759996106,1.818579071493431,3.777107043295369,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"**Company description:**
Viatris International Supply Point, located in Hoeilaart, Belgium, serves as a key operational hub for Viatris, a global pharmaceutical company formed through a merger of Mylan and Upjohn. The facility plays a crucial role in the company's supply chain operations, ensuring the distribution of a wide range of pharmaceutical products to various markets worldwide.

**Product offerings:**
Viatris International Supply Point offers a diverse portfolio of pharmaceutical products, including generic medications, over-the-counter drugs, and specialty pharmaceuticals. Examples of their offerings may include well-known brands like EpiPen (epinephrine injection) for severe allergic reactions and Lipitor (atorvastatin) for high cholesterol.

**Key activities:**
The strategic location of Viatris International Supply Point in Belgium enhances the company's global distribution network, enabling efficient supply chain management and timely delivery of pharmaceutical products to customers. As a critical part of Viatris' operations, the facility's role in ensuring product availability and meeting market demands is essential for the company's competitiveness in the pharmaceutical industry.

**Additional notes:**
- Founded: Viatris was formed in 2020 through the merger of Mylan and Upjohn.
- Headquarters: Viatris International Supply Point is located at Terhulpsesteenweg 6A, 1560 Hoeilaart, Belgium.
- Mission: Viatris aims to provide access to high-quality medicine for patients worldwide through its diverse portfolio of pharmaceutical products."
45,AZELIS GROUP NV,"ANTWERP, ANTWERP",Q,Human health and social work activities,Health & Social Work,"Public Administration, Education, Health Social Services",Flanders,n.a.,4206,3825,3177,2430,n.a.,n.a.,n.a.,n.a.,06/10/21,Public limited companies,2021,0.099607843,0.2039660056657224,0.3074074074074074,n.a.,n.a.,n.a.,n.a.,20.06626427075493,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,"**Company description:**
Azelis Group NV, based in Merelbeke (Gent), Belgium, is a leading distributor of specialty chemicals and food ingredients. The company was formed through the consolidation of distributing companies Sepulchre NV, Sibeco NV (acquired in 2004), and YDS Chemicals NV (acquired in 2010). Azelis serves diverse market segments within Life Sciences and Industrial Chemicals, leveraging its extensive product portfolio and global reach to meet the needs of customers worldwide.

**Product offerings:**
Azelis offers a wide range of specialty chemicals and food ingredients, including additives, resins, pigments, and active ingredients for various industries such as pharmaceuticals, personal care, food and beverage, and coatings. For example, in the food industry, Azelis provides flavor enhancers, food colorants, and functional ingredients under brands like Azelis Food & Health.

**Key activities:**
The acquisitions of Sepulchre NV, Sibeco NV, and YDS Chemicals NV have significantly expanded Azelis' market presence and product offerings, strengthening its position as a key player in the distribution of specialty chemicals. These strategic moves have allowed Azelis to diversify its customer base, enhance its product portfolio, and enter new geographical markets, driving growth and competitiveness in the industry.

**Additional notes:**
- **Founded:** Azelis Group NV was established in 2001.
- **HQ:** The company's headquarters are located in Merelbeke (Gent), Belgium.
- **Mission:** Azelis aims to be a leading innovation service provider in the specialty chemicals and food ingredients industry, offering value-added solutions to its customers globally."
153,HASCO,ALKEN,K,Financial and insurance activities,Finance & Insurance,Business Services,Flanders,n.a.,473,302,279,169,180,218,175,107,13/09/10,Public limited companies,2010,0.5662251655629139,0.082437276,0.650887574,-0.061111111,-0.174311927,0.2457142857142857,0.6355140186915887,40.92611470378804,18.82600038985478,8.571516309,-1.156172986,18.93132093014444,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"**Company description:** 
HASCO, founded in 1977 and headquartered in Hasselt, Limburg, Belgium, is an independent private holding company with a diverse portfolio spanning five investment areas. With a strong presence in Belgium and the Netherlands, HASCO has grown steadily over the past 50 years. The company operates under the name Hasco Invest and has a significant focus on strategic investments in various sectors.

**Product offerings:**
HASCO Invest's portfolio includes investments in a wide range of industries such as technology, healthcare, real estate, and manufacturing. For example, the company may have stakes in tech startups, healthcare facilities, commercial properties, and industrial enterprises, showcasing a diversified investment strategy.

**Key activities:**
HASCO's strategic moves, such as its establishment in 1977 and subsequent growth in Belgium and the Netherlands, demonstrate its long-term commitment to investment and expansion. By focusing on five key investment areas, HASCO has strategically positioned itself to capitalize on diverse market opportunities and drive sustained growth. The company's presence in multiple sectors indicates a broad investment approach aimed at portfolio diversification and long-term value creation.

**Additional notes:**
- **Founded:** 1977
- **Headquarters:** Hasselt, Limburg, Belgium
- **Mission:** The mission of HASCO is not available in the retrieved information."
270,KUEHNE + NAGEL,BERCHEM-ANTWERPEN,H,Transportation and storage,Transport & Storage,"Transport, Freight & Storage",Flanders,n.a.,1076,958,728,494,457,442,400,369,27/01/56,Public limited companies,1956,0.1231732776617954,0.3159340659340659,0.4736842105263158,0.080962801,0.033936652,0.105,0.08401084,29.62689175,27.98225843635891,18.09632141839084,7.289112432778344,7.389860436317885,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"**Company description:** Kuehne + Nagel, headquartered in Schindellegi, Switzerland, is a global transport and logistics company with a significant presence in Antwerp, Belgium. With over 82,000 employees across nearly 1,300 sites in close to 100 countries, Kuehne + Nagel is a key player in the logistics industry, offering a wide range of services to clients worldwide.

**Product offerings:** Kuehne + Nagel provides a comprehensive suite of logistics services including air logistics, sea logistics, road logistics, and contract logistics. For example, they offer specialized solutions for industries such as automotive, healthcare, and retail, ensuring efficient supply chain management and transportation of goods.

**Key activities:** Kuehne + Nagel's strategic moves include establishing a strong presence in Antwerp, a key logistics hub in Europe. By offering a diverse range of logistics services and solutions, the company caters to the needs of various industries, enhancing their competitiveness in the global market. Additionally, Kuehne + Nagel's extensive network and workforce enable them to provide seamless logistics solutions to clients worldwide, reinforcing their position as a leading logistics provider.

**Additional notes:** Founded in 1890, Kuehne + Nagel has a long-standing history in the logistics industry. The company's mission revolves around delivering innovative and sustainable logistics solutions to meet the evolving needs of their customers globally."
402,HEDIN AUTOMOTIVE,SINT-NIKLAAS,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Trade & Repair,Wholesale,Flanders,n.a.,560,429,417,93,n.a.,n.a.,n.a.,n.a.,26/12/19,Public limited companies,2019,0.3053613053613053,0.028776978,3.483870967741935,n.a.,n.a.,n.a.,n.a.,81.92889965515519,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,"**Company description:**
Hedin Automotive, headquartered in Sint-Niklaas, Belgium, is a prominent operator of automotive dealerships across multiple countries including Sweden, Norway, Finland, Netherlands, Belgium, Switzerland, UK, and Slovakia. Established in 1985, the company has a strong online presence for new and used car sales and operates as the largest Mercedes-Benz retailer in Belgium with approximately 20% market share. With over 30 locations in Vlaanderen, Brussel, and other regions, Hedin Automotive is known for its extensive network of dealerships offering a wide range of automotive services.

**Product offerings:**
Hedin Automotive provides a comprehensive range of services including the sale of new and used vehicles. As the largest Mercedes-Benz retailer in Belgium, they offer a diverse selection of Mercedes-Benz models such as the C-Class, E-Class, and S-Class. Additionally, the company's showrooms in Antwerp, Brussels, Ghent, Maldegem, and Luxembourg showcase various other popular car brands to cater to a wide customer base.

**Key activities:**
Hedin Automotive's strategic move to establish a strong local presence in Belgium since 2018 and become the largest Mercedes-Benz retailer has significantly boosted its market position and brand recognition in the region. The company's expansion into multiple countries across Europe has enabled it to tap into diverse markets and cater to a wide range of customers, enhancing its revenue streams and overall competitiveness in the automotive industry. Moreover, Hedin Automotive's online sales platform for new and used cars reflects its commitment to embracing digital trends and meeting evolving customer preferences in the automotive retail sector.

**Additional notes:**
- **Founded:** 1985
- **HQ:** Sint-Niklaas, Belgium
- **Mission:** The mission of Hedin Automotive is not available in the retrieved information."
620,GROUP DE CEUSTER,GROBBENDONK,K,Financial and insurance activities,Finance & Insurance,Business Services,Flanders,n.a.,715,716,341,186,294,259,197,189,09/06/93,Public limited companies,1993,-0.001396648,1.099706744868035,0.8333333333333334,-0.367346939,0.1351351351351351,0.3147208121827411,0.042328042,56.65022843505403,34.54117946325852,9.601930804,-1.897011069,15.86755482954834,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"**Company Description:**
Group De Ceuster, headquartered in Sint-Katelijne-Waver, Belgium, is a family business founded in 1966 by Herman De Ceuster. Specializing in the materials industry with a focus on chemicals, the company is now led by the second generation, with Tom De Ceuster serving as CEO. Known for its expertise in farming, Group De Ceuster has established a strong presence in the market through decades of experience and a commitment to quality.

**Product Offerings:**
Group De Ceuster offers a range of agricultural products such as fertilizers, pesticides, and crop protection solutions. One of their flagship products is a specialized line of organic fertilizers that promote sustainable farming practices and enhance crop yields. Additionally, they provide consultancy services to farmers on optimizing agricultural processes and improving overall productivity.

**Key Activities:**
In recent years, Group De Ceuster has focused on expanding its product portfolio through strategic partnerships with research institutions to develop innovative solutions for the agricultural sector. By investing in research and development, the company aims to stay ahead of market trends and meet the evolving needs of farmers worldwide. This proactive approach not only strengthens their market position but also underscores their commitment to sustainability and agricultural advancement.

**Additional notes:**
- **Founding year:** 1966
- **HQ:** Sint-Katelijne-Waver, Belgium
- **Mission:** To provide high-quality agricultural products and services while promoting sustainable farming practices."
624,MEDI-MARKET GROUP,OHAIN,K,Financial and insurance activities,Finance & Insurance,Business Services,Wallonia,n.a.,608,484,402,333,272,n.a.,n.a.,n.a.,16/12/13,Public limited companies,2013,0.256198347,0.2039800995024875,0.2072072072072072,0.2242647058823529,n.a.,n.a.,n.a.,22.22304949017735,21.17847588164143,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,0,0,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,0,0,n.a.,n.a.,n.a.,0,0,n.a.,n.a.,n.a.,0,0,n.a.,n.a.,n.a.,"**Company Description:**
Medi-Market Group, headquartered in Lasne, Belgium, is a prominent player in the healthcare and wellness retail sector. The company operates a chain of pharmacies and health stores, offering a wide range of products and services to cater to the diverse needs of its customers. With a focus on providing accessible healthcare solutions, Medi-Market Group has established itself as a trusted brand in the industry.

**Product Offerings:**
Medi-Market Group offers a comprehensive selection of healthcare products, including over-the-counter medications, vitamins, supplements, personal care items, and medical devices. The company also provides pharmacy services such as prescription fulfillment, health consultations, and wellness screenings. Additionally, Medi-Market Group features beauty and skincare products from renowned brands to meet the needs of its customers.

**Key Activities:**
In recent years, Medi-Market Group has strategically expanded its presence through acquisitions and partnerships to strengthen its market position. By diversifying its product offerings and enhancing customer experience, the company has been able to attract a loyal customer base and drive growth in the competitive retail healthcare sector. The strategic moves of launching new stores and forming collaborations have enabled Medi-Market Group to stay ahead of market trends and maintain a competitive edge.

**Additional notes:**
- **Founding year:** Not available
- **HQ:** Chaussée De Louvain 479, 1380 Lasne, Belgium
- **Mission:** Information not available"
636,DANONE BELUX,BRUSSEL,C,Manufacturing,Manufacturing,Food & Tobacco Manufacturing,Brussels,n.a.,429,197,119,118,123,127,128,133,25/04/60,Public limited companies,1960,1.177664974619289,0.6554621848739496,0.008474576,-0.040650407,-0.031496063,-0.0078125,-0.037593985,53.76533129813088,17.00031695095581,-2.145437373,-2.675089603,-2.571842358,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"**Company description:** Danone Belux, located in Brussels, Belgium, is a subsidiary of the global food company Danone Group. Known for its focus on health and sustainability, Danone Belux operates in the dairy, plant-based products, and specialized nutrition sectors.

**Product offerings:** Danone Belux offers a wide range of products, including dairy products under brands like Danone and Activia, plant-based alternatives under Alpro, and specialized nutrition products for infants and adults under Nutricia.

**Key activities:** Danone Belux has strategically focused on expanding its plant-based product offerings to cater to the growing demand for alternative dairy products. Additionally, the company has been actively involved in sustainability initiatives, such as reducing its carbon footprint and promoting eco-friendly packaging solutions. The location in Brussels also strategically positions Danone Belux in the heart of Europe, allowing for efficient distribution across the region.

**Additional notes:** Danone Group, the parent company of Danone Belux, was founded in 1919 and is headquartered in Paris, France. The company's mission revolves around providing health-focused food products while promoting environmental sustainability."
651,SOLIVER,RUMBEKE,C,Manufacturing,Manufacturing,"Leather, Stone, Clay & Glass products",Flanders,n.a.,1097,817,510,353,319,279,295,286,24/10/50,Public limited companies,1950,0.3427172582619339,0.6019607843137255,0.4447592067988669,0.1065830721003135,0.1433691756272401,-0.054237288,0.031468531,45.92979556521286,36.81817437917751,22.27058524,6.165700537601326,3.707034701231393,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"**Company description:**
Soliver, based in Roeselare, Belgium, is a renowned fashion brand founded in 1937. The company operates as a manufacturer and supplier of automotive and fashionable clothing, with a strong presence in various European cities like Leipzig, Hamburg, and Munich. Soliver caters to a diverse clientele with its trendy and stylish apparel offerings.

**Product offerings:**
Soliver offers a wide range of fashion products for women, men, and kids, including clothing, footwear, and accessories. Their collections feature trendy designs, high-quality materials, and a focus on comfort and style. Examples of their product lines include casual wear, formal attire, shoes, bags, and accessories like scarves and belts.

**Key activities:**
Soliver's strategic move to expand its presence in multiple European cities like Aalst and Mechelen showcases its commitment to reaching a broader customer base. The company's acquisition by Bernd Freier has likely provided it with additional resources and expertise to enhance its product offerings and market reach. Soliver's focus on fashion-forward designs and quality manufacturing positions it as a key player in the competitive fashion industry, driving its growth and success.

**Additional notes:**
- **Founded:** 1937
- **HQ:** Roeselare, Belgium
- **Mission:** To provide trendy and stylish fashion choices for a diverse clientele."
